"US_ISRM_id","pol_abbr","ems_qty","ems_unit"
"842","PM25",0.946833,"ton/yr"
"842","NOx",29.1365,"ton/yr"
"842","SOx",0.0699455,"ton/yr"
"842","VOC",1.38828,"ton/yr"
"842","NH3",0.00895138,"ton/yr"
"909","PM25",42.6449,"ton/yr"
"909","NOx",1523.18,"ton/yr"
"909","SOx",368.407,"ton/yr"
"909","VOC",70.2948,"ton/yr"
"909","NH3",129.356,"ton/yr"
"910","PM25",850.179,"ton/yr"
"910","NOx",4822.32,"ton/yr"
"910","SOx",1131.85,"ton/yr"
"910","VOC",210.366,"ton/yr"
"910","NH3",19.334,"ton/yr"
"911","PM25",18.2139,"ton/yr"
"911","NOx",318.141,"ton/yr"
"911","SOx",14.5384,"ton/yr"
"911","VOC",132.359,"ton/yr"
"911","NH3",595.469,"ton/yr"
"912","PM25",69.4348,"ton/yr"
"912","NOx",96.2282,"ton/yr"
"912","SOx",14.4522,"ton/yr"
"912","VOC",314.971,"ton/yr"
"912","NH3",570.521,"ton/yr"
"947","PM25",26.1814,"ton/yr"
"947","NOx",157.537,"ton/yr"
"947","SOx",2.16822,"ton/yr"
"947","VOC",138.109,"ton/yr"
"947","NH3",129.956,"ton/yr"
"948","PM25",12.2027,"ton/yr"
"948","NOx",12.4662,"ton/yr"
"948","SOx",1.44356,"ton/yr"
"948","VOC",96.0997,"ton/yr"
"948","NH3",188.488,"ton/yr"
"953","PM25",0.948574,"ton/yr"
"953","NOx",1.25846,"ton/yr"
"953","SOx",0.0213045,"ton/yr"
"953","VOC",10.2443,"ton/yr"
"953","NH3",34.2191,"ton/yr"
"954","PM25",2.39198,"ton/yr"
"954","NOx",7.61884,"ton/yr"
"954","SOx",0.0657927,"ton/yr"
"954","VOC",13.4052,"ton/yr"
"954","NH3",0.98025,"ton/yr"
"955","PM25",10.2455,"ton/yr"
"955","NOx",56.4829,"ton/yr"
"955","SOx",0.381483,"ton/yr"
"955","VOC",58.4936,"ton/yr"
"955","NH3",4.11219,"ton/yr"
"956","PM25",0.883037,"ton/yr"
"956","NOx",7.83703,"ton/yr"
"956","SOx",0.0297985,"ton/yr"
"956","VOC",6.27719,"ton/yr"
"956","NH3",0.308394,"ton/yr"
"957","PM25",0.184703,"ton/yr"
"957","NOx",4.76419,"ton/yr"
"957","SOx",0.00645182,"ton/yr"
"957","VOC",0.345533,"ton/yr"
"957","NH3",0.000248121,"ton/yr"
"958","PM25",5.75291,"ton/yr"
"958","NOx",172.129,"ton/yr"
"958","SOx",1.204,"ton/yr"
"958","VOC",11.5913,"ton/yr"
"958","NH3",0.0626734,"ton/yr"
"959","PM25",12.4618,"ton/yr"
"959","NOx",373.847,"ton/yr"
"959","SOx",2.64931,"ton/yr"
"959","VOC",25.1419,"ton/yr"
"959","NH3",0.138033,"ton/yr"
"960","PM25",10.684,"ton/yr"
"960","NOx",320.53,"ton/yr"
"960","SOx",2.27115,"ton/yr"
"960","VOC",21.5535,"ton/yr"
"960","NH3",0.118353,"ton/yr"
"961","PM25",1.43928,"ton/yr"
"961","NOx",43.1875,"ton/yr"
"961","SOx",0.304587,"ton/yr"
"961","VOC",2.89479,"ton/yr"
"961","NH3",0.0161388,"ton/yr"
"962","PM25",0.581642,"ton/yr"
"962","NOx",8.76752,"ton/yr"
"962","SOx",0.0639883,"ton/yr"
"962","VOC",1.33717,"ton/yr"
"962","NH3",0.00927746,"ton/yr"
"963","PM25",0.479866,"ton/yr"
"963","NOx",4.23017,"ton/yr"
"963","SOx",0.0729358,"ton/yr"
"963","VOC",2.05184,"ton/yr"
"963","NH3",0.141362,"ton/yr"
"964","PM25",0.152135,"ton/yr"
"964","NOx",0.274586,"ton/yr"
"964","SOx",0.15626,"ton/yr"
"964","VOC",1.47769,"ton/yr"
"964","NH3",0.0155364,"ton/yr"
"965","PM25",0.235061,"ton/yr"
"965","NOx",0.280542,"ton/yr"
"965","SOx",0.0128152,"ton/yr"
"965","VOC",1.81575,"ton/yr"
"965","NH3",0.254178,"ton/yr"
"966","PM25",0.365659,"ton/yr"
"966","NOx",3.75688,"ton/yr"
"966","SOx",0.0197489,"ton/yr"
"966","VOC",2.66695,"ton/yr"
"966","NH3",0.163719,"ton/yr"
"967","PM25",0.896035,"ton/yr"
"967","NOx",1.5237,"ton/yr"
"967","SOx",0.104054,"ton/yr"
"967","VOC",6.60112,"ton/yr"
"967","NH3",0.0477755,"ton/yr"
"968","PM25",0.0675517,"ton/yr"
"968","NOx",0.344829,"ton/yr"
"968","SOx",0.00627767,"ton/yr"
"968","VOC",1.50689,"ton/yr"
"968","NH3",3.03077,"ton/yr"
"969","PM25",0.719526,"ton/yr"
"969","NOx",0.431179,"ton/yr"
"969","SOx",0.0199451,"ton/yr"
"969","VOC",2.24802,"ton/yr"
"969","NH3",0.0648865,"ton/yr"
"970","PM25",0.25865,"ton/yr"
"970","NOx",3.05827,"ton/yr"
"970","SOx",0.0161877,"ton/yr"
"970","VOC",2.69341,"ton/yr"
"970","NH3",0.204686,"ton/yr"
"971","PM25",6.12555,"ton/yr"
"971","NOx",18.1629,"ton/yr"
"971","SOx",0.134752,"ton/yr"
"971","VOC",20.712,"ton/yr"
"971","NH3",34.8482,"ton/yr"
"972","PM25",7.76016,"ton/yr"
"972","NOx",35.9716,"ton/yr"
"972","SOx",0.411405,"ton/yr"
"972","VOC",52.5413,"ton/yr"
"972","NH3",146.451,"ton/yr"
"973","PM25",11.1158,"ton/yr"
"973","NOx",12.332,"ton/yr"
"973","SOx",0.539987,"ton/yr"
"973","VOC",50.0307,"ton/yr"
"973","NH3",180.88,"ton/yr"
"974","PM25",6.37351,"ton/yr"
"974","NOx",9.83998,"ton/yr"
"974","SOx",0.299321,"ton/yr"
"974","VOC",39.4814,"ton/yr"
"974","NH3",149.014,"ton/yr"
"975","PM25",2.82501,"ton/yr"
"975","NOx",2.13068,"ton/yr"
"975","SOx",0.283341,"ton/yr"
"975","VOC",38.6086,"ton/yr"
"975","NH3",172.119,"ton/yr"
"976","PM25",3.6743,"ton/yr"
"976","NOx",2.52998,"ton/yr"
"976","SOx",0.287891,"ton/yr"
"976","VOC",36.7855,"ton/yr"
"976","NH3",160.397,"ton/yr"
"977","PM25",1.55043,"ton/yr"
"977","NOx",6.24663,"ton/yr"
"977","SOx",0.0598249,"ton/yr"
"977","VOC",9.69245,"ton/yr"
"977","NH3",0.65548,"ton/yr"
"978","PM25",1.47344,"ton/yr"
"978","NOx",6.18842,"ton/yr"
"978","SOx",0.0711965,"ton/yr"
"978","VOC",9.63571,"ton/yr"
"978","NH3",0.71292,"ton/yr"
"979","PM25",0.530957,"ton/yr"
"979","NOx",1.02626,"ton/yr"
"979","SOx",0.00985815,"ton/yr"
"979","VOC",2.30449,"ton/yr"
"979","NH3",0.164707,"ton/yr"
"980","PM25",0.0247591,"ton/yr"
"980","NOx",0.276106,"ton/yr"
"980","SOx",0.000846023,"ton/yr"
"980","VOC",0.602184,"ton/yr"
"980","NH3",0.0173546,"ton/yr"
"981","PM25",0.0128272,"ton/yr"
"981","NOx",0.295976,"ton/yr"
"981","SOx",0.000440217,"ton/yr"
"981","VOC",0.0776492,"ton/yr"
"981","NH3",0.00146354,"ton/yr"
"982","PM25",0.0115439,"ton/yr"
"982","NOx",0.297762,"ton/yr"
"982","SOx",0.000403239,"ton/yr"
"982","VOC",0.0215958,"ton/yr"
"982","NH3",0.0000155076,"ton/yr"
"983","PM25",0.0115439,"ton/yr"
"983","NOx",0.297762,"ton/yr"
"983","SOx",0.000403239,"ton/yr"
"983","VOC",0.0215958,"ton/yr"
"983","NH3",0.0000155076,"ton/yr"
"984","PM25",0.164468,"ton/yr"
"984","NOx",4.89426,"ton/yr"
"984","SOx",0.0332939,"ton/yr"
"984","VOC",0.330448,"ton/yr"
"984","NH3",0.00173002,"ton/yr"
"985","PM25",0.844222,"ton/yr"
"985","NOx",25.3257,"ton/yr"
"985","SOx",0.179485,"ton/yr"
"985","VOC",1.7033,"ton/yr"
"985","NH3",0.00935063,"ton/yr"
"986","PM25",0.844222,"ton/yr"
"986","NOx",25.3257,"ton/yr"
"986","SOx",0.179485,"ton/yr"
"986","VOC",1.7033,"ton/yr"
"986","NH3",0.00935063,"ton/yr"
"987","PM25",4.32572,"ton/yr"
"987","NOx",30.9324,"ton/yr"
"987","SOx",0.22924,"ton/yr"
"987","VOC",30.602,"ton/yr"
"987","NH3",2.16043,"ton/yr"
"988","PM25",5.77515,"ton/yr"
"988","NOx",85.0801,"ton/yr"
"988","SOx",0.607284,"ton/yr"
"988","VOC",16.0275,"ton/yr"
"988","NH3",0.469423,"ton/yr"
"989","PM25",3.39376,"ton/yr"
"989","NOx",101.792,"ton/yr"
"989","SOx",0.720886,"ton/yr"
"989","VOC",6.8565,"ton/yr"
"989","NH3",0.0382251,"ton/yr"
"990","PM25",3.37689,"ton/yr"
"990","NOx",101.303,"ton/yr"
"990","SOx",0.717942,"ton/yr"
"990","VOC",6.81322,"ton/yr"
"990","NH3",0.0374025,"ton/yr"
"991","PM25",3.37689,"ton/yr"
"991","NOx",101.303,"ton/yr"
