"US_ISRM_id","src_h1","pol_abbr","ems_qty","ems_unit"
"909","afdust","PM25",0.246073,"ton/yr"
"909","ag","NH3",129.298,"ton/yr"
"909","agfire","PM25",0.00556425,"ton/yr"
"909","agfire","NOx",0.00360846,"ton/yr"
"909","agfire","SOx",0.000150203,"ton/yr"
"909","agfire","VOC",0.00462624,"ton/yr"
"909","cmv","PM25",3.24229,"ton/yr"
"909","cmv","NOx",100.543,"ton/yr"
"909","cmv","SOx",0.0970583,"ton/yr"
"909","cmv","VOC",4.60722,"ton/yr"
"909","cmv","NH3",0.0242051,"ton/yr"
"909","nonpt","PM25",0.207249,"ton/yr"
"909","nonpt","NOx",0.314749,"ton/yr"
"909","nonpt","SOx",0.00706186,"ton/yr"
"909","nonpt","VOC",11.7184,"ton/yr"
"909","nonpt","NH3",0.034505,"ton/yr"
"909","np_oilgas","NOx",0.00000000716304,"ton/yr"
"909","np_oilgas","SOx",0.000000141151,"ton/yr"
"909","np_oilgas","VOC",0.00225329,"ton/yr"
"909","othpt","PM25",38.9415,"ton/yr"
"909","othpt","NOx",1422.31,"ton/yr"
"909","othpt","SOx",368.303,"ton/yr"
"909","othpt","VOC",53.9614,"ton/yr"
"909","rwc","PM25",0.00218664,"ton/yr"
"909","rwc","NOx",0.000170614,"ton/yr"
"909","rwc","SOx",0.0000262518,"ton/yr"
"909","rwc","VOC",0.000924648,"ton/yr"
"909","rwc","NH3",0.0000531311,"ton/yr"
"910","afdust","PM25",711.74,"ton/yr"
"910","ag","NH3",18.846,"ton/yr"
"910","agfire","PM25",0.000587953,"ton/yr"
"910","agfire","NOx",0.000381293,"ton/yr"
"910","agfire","SOx",0.0000158713,"ton/yr"
"910","agfire","VOC",0.000488837,"ton/yr"
"910","cmv","PM25",6.95769,"ton/yr"
"910","cmv","NOx",211.117,"ton/yr"
"910","cmv","SOx",0.820288,"ton/yr"
"910","cmv","VOC",12.7042,"ton/yr"
"910","cmv","NH3",0.0472911,"ton/yr"
"910","nonpt","PM25",1.75382,"ton/yr"
"910","nonpt","NOx",2.37205,"ton/yr"
"910","nonpt","SOx",0.0358442,"ton/yr"
"910","nonpt","VOC",20.2845,"ton/yr"
"910","nonpt","NH3",0.383589,"ton/yr"
"910","np_oilgas","NOx",0.000000221985,"ton/yr"
"910","np_oilgas","SOx",0.00000437413,"ton/yr"
"910","np_oilgas","VOC",0.0698272,"ton/yr"
"910","othpt","PM25",127.372,"ton/yr"
"910","othpt","NOx",4608.65,"ton/yr"
"910","othpt","SOx",1130.96,"ton/yr"
"910","othpt","VOC",176.312,"ton/yr"
"910","rwc","PM25",2.35437,"ton/yr"
"910","rwc","NOx",0.183702,"ton/yr"
"910","rwc","SOx",0.0282656,"ton/yr"
"910","rwc","VOC",0.995578,"ton/yr"
"910","rwc","NH3",0.0572067,"ton/yr"
"911","afdust","PM25",4.50061,"ton/yr"
"911","ag","NH3",594.549,"ton/yr"
"911","agfire","PM25",0.381735,"ton/yr"
"911","agfire","NOx",0.245505,"ton/yr"
"911","agfire","SOx",0.00746037,"ton/yr"
"911","agfire","VOC",0.31577,"ton/yr"
"911","cmv","PM25",8.6568,"ton/yr"
"911","cmv","NOx",267.373,"ton/yr"
"911","cmv","SOx",1.67933,"ton/yr"
"911","cmv","VOC",16.2368,"ton/yr"
"911","cmv","NH3",0.107895,"ton/yr"
"911","nonpt","PM25",1.49583,"ton/yr"
"911","nonpt","NOx",5.2604,"ton/yr"
"911","nonpt","SOx",1.14723,"ton/yr"
"911","nonpt","VOC",113.13,"ton/yr"
"911","nonpt","NH3",0.754108,"ton/yr"
"911","np_oilgas","VOC",0.143177,"ton/yr"
"911","othpt","PM25",1.23507,"ton/yr"
"911","othpt","NOx",45.1099,"ton/yr"
"911","othpt","SOx",11.681,"ton/yr"
"911","othpt","VOC",1.71144,"ton/yr"
"911","rwc","PM25",1.94384,"ton/yr"
"911","rwc","NOx",0.151672,"ton/yr"
"911","rwc","SOx",0.0233238,"ton/yr"
"911","rwc","VOC",0.821975,"ton/yr"
"911","rwc","NH3",0.0578904,"ton/yr"
"947","afdust","PM25",8.44624,"ton/yr"
"947","ag","NH3",121.92,"ton/yr"
"947","agfire","PM25",1.02961,"ton/yr"
"947","agfire","NOx",0.779095,"ton/yr"
"947","agfire","SOx",0.0187944,"ton/yr"
"947","agfire","VOC",0.860802,"ton/yr"
"947","agfire","NH3",0.116032,"ton/yr"
"947","cmv","PM25",1.51068,"ton/yr"
"947","cmv","NOx",44.1264,"ton/yr"
"947","cmv","SOx",0.27046,"ton/yr"
"947","cmv","VOC",2.9367,"ton/yr"
"947","cmv","NH3",0.0155243,"ton/yr"
"947","nonpt","PM25",5.04921,"ton/yr"
"947","nonpt","NOx",12.0092,"ton/yr"
"947","nonpt","SOx",1.39943,"ton/yr"
"947","nonpt","VOC",97.6224,"ton/yr"
"947","nonpt","NH3",5.08953,"ton/yr"
"947","np_oilgas","VOC",0.529882,"ton/yr"
"947","onroad","PM25",3.34079,"ton/yr"
"947","onroad","NOx",96.7065,"ton/yr"
"947","onroad","SOx",0.386094,"ton/yr"
"947","onroad","VOC",32.4642,"ton/yr"
"947","onroad","NH3",2.71466,"ton/yr"
"947","rail","PM25",0.116834,"ton/yr"
"947","rail","NOx",3.34853,"ton/yr"
"947","rail","SOx",0.00212425,"ton/yr"
"947","rail","VOC",0.336826,"ton/yr"
"947","rail","NH3",0.000651508,"ton/yr"
"947","rwc","PM25",6.68805,"ton/yr"
"947","rwc","NOx",0.567663,"ton/yr"
"947","rwc","SOx",0.0913196,"ton/yr"
"947","rwc","VOC",3.35823,"ton/yr"
"947","rwc","NH3",0.0998884,"ton/yr"
"948","afdust","PM25",3.52442,"ton/yr"
"948","ag","NH3",186.039,"ton/yr"
"948","agfire","PM25",1.94563,"ton/yr"
"948","agfire","NOx",1.47574,"ton/yr"
"948","agfire","SOx",0.0354756,"ton/yr"
"948","agfire","VOC",1.62691,"ton/yr"
"948","agfire","NH3",0.222736,"ton/yr"
"948","cmv","PM25",0.0442986,"ton/yr"
"948","cmv","NOx",1.08569,"ton/yr"
"948","cmv","SOx",0.000542255,"ton/yr"
"948","cmv","VOC",0.0753839,"ton/yr"
"948","cmv","NH3",0.0000506199,"ton/yr"
"948","nonpt","PM25",3.02081,"ton/yr"
"948","nonpt","NOx",6.96911,"ton/yr"
"948","nonpt","SOx",1.35312,"ton/yr"
"948","nonpt","VOC",91.7554,"ton/yr"
"948","nonpt","NH3",2.14506,"ton/yr"
"948","np_oilgas","VOC",0.325785,"ton/yr"
"948","onroad","PM25",0.0368394,"ton/yr"
"948","onroad","NOx",1.11989,"ton/yr"
"948","onroad","SOx",0.00437261,"ton/yr"
"948","onroad","VOC",0.356325,"ton/yr"
"948","onroad","NH3",0.0298142,"ton/yr"
"948","rail","PM25",0.0527242,"ton/yr"
"948","rail","NOx",1.51111,"ton/yr"
"948","rail","SOx",0.00095862,"ton/yr"
"948","rail","VOC",0.152001,"ton/yr"
"948","rail","NH3",0.000294008,"ton/yr"
"948","rwc","PM25",3.578,"ton/yr"
"948","rwc","NOx",0.304668,"ton/yr"
"948","rwc","SOx",0.0490908,"ton/yr"
"948","rwc","VOC",1.80791,"ton/yr"
"948","rwc","NH3",0.0513195,"ton/yr"
"953","afdust","PM25",0.195912,"ton/yr"
"953","ag","NH3",33.8067,"ton/yr"
"953","agfire","PM25",0.00145485,"ton/yr"
"953","agfire","NOx",0.000943484,"ton/yr"
"953","agfire","SOx",0.0000392726,"ton/yr"
"953","agfire","VOC",0.0012096,"ton/yr"
"953","nonpt","PM25",0.445836,"ton/yr"
"953","nonpt","NOx",1.23369,"ton/yr"
"953","nonpt","SOx",0.0175982,"ton/yr"
"953","nonpt","VOC",10.0998,"ton/yr"
"953","nonpt","NH3",0.404994,"ton/yr"
"953","np_oilgas","NOx",0.0000000450167,"ton/yr"
"953","np_oilgas","SOx",0.000000887039,"ton/yr"
"953","np_oilgas","VOC",0.0141604,"ton/yr"
"953","rwc","PM25",0.305372,"ton/yr"
"953","rwc","NOx",0.0238268,"ton/yr"
"953","rwc","SOx",0.00366616,"ton/yr"
"953","rwc","VOC",0.12913,"ton/yr"
"953","rwc","NH3",0.00741994,"ton/yr"
"954","afdust","PM25",0.599028,"ton/yr"
"954","cmv","PM25",0.0000142083,"ton/yr"
"954","cmv","NOx",0.000366485,"ton/yr"
"954","cmv","SOx",0.000000496305,"ton/yr"
"954","cmv","VOC",0.0000265801,"ton/yr"
"954","cmv","NH3",0.0000000190865,"ton/yr"
"954","nonpt","PM25",0.770311,"ton/yr"
"954","nonpt","NOx",2.23457,"ton/yr"
"954","nonpt","SOx",0.0287564,"ton/yr"
"954","nonpt","VOC",11.2889,"ton/yr"
"954","nonpt","NH3",0.777792,"ton/yr"
"954","np_oilgas","NOx",0.000000117854,"ton/yr"
"954","np_oilgas","SOx",0.00000232227,"ton/yr"
"954","np_oilgas","VOC",0.037072,"ton/yr"
"954","onroad","PM25",0.235161,"ton/yr"
"954","onroad","NOx",5.32246,"ton/yr"
"954","onroad","SOx",0.0275795,"ton/yr"
"954","onroad","VOC",1.74625,"ton/yr"
"954","onroad","NH3",0.183324,"ton/yr"
"954","rwc","PM25",0.787471,"ton/yr"
"954","rwc","NOx",0.0614429,"ton/yr"
"954","rwc","SOx",0.00945402,"ton/yr"
"954","rwc","VOC",0.332992,"ton/yr"
"954","rwc","NH3",0.019134,"ton/yr"
"955","afdust","PM25",2.96101,"ton/yr"
"955","cmv","PM25",0.0739804,"ton/yr"
"955","cmv","NOx",1.90823,"ton/yr"
"955","cmv","SOx",0.00258419,"ton/yr"
"955","cmv","VOC",0.138398,"ton/yr"
"955","cmv","NH3",0.0000993817,"ton/yr"
"955","nonpt","PM25",3.32153,"ton/yr"
"955","nonpt","NOx",7.54035,"ton/yr"
"955","nonpt","SOx",0.0968179,"ton/yr"
"955","nonpt","VOC",40.7076,"ton/yr"
"955","nonpt","NH3",2.28166,"ton/yr"
"955","np_oilgas","NOx",0.000000233437,"ton/yr"
"955","np_oilgas","SOx",0.00000459978,"ton/yr"
"955","np_oilgas","VOC",0.0734294,"ton/yr"
"955","onroad","PM25",2.1548,"ton/yr"
"955","onroad","NOx",46.899,"ton/yr"
"955","onroad","SOx",0.261256,"ton/yr"
"955","onroad","VOC",16.8409,"ton/yr"
"955","onroad","NH3",1.78829,"ton/yr"
"955","rwc","PM25",1.73418,"ton/yr"
"955","rwc","NOx",0.135311,"ton/yr"
"955","rwc","SOx",0.0208198,"ton/yr"
"955","rwc","VOC",0.733321,"ton/yr"
"955","rwc","NH3",0.0421372,"ton/yr"
"956","afdust","PM25",0.181872,"ton/yr"
"956","cmv","PM25",0.173695,"ton/yr"
"956","cmv","NOx",4.48024,"ton/yr"
"956","cmv","SOx",0.00606729,"ton/yr"
"956","cmv","VOC",0.324939,"ton/yr"
"956","cmv","NH3",0.000233333,"ton/yr"
"956","nonpt","PM25",0.41325,"ton/yr"
"956","nonpt","NOx",0.8105,"ton/yr"
"956","nonpt","SOx",0.0104073,"ton/yr"
"956","nonpt","VOC",5.07852,"ton/yr"
"956","nonpt","NH3",0.21894,"ton/yr"
"956","np_oilgas","NOx",0.0000000765167,"ton/yr"
"956","np_oilgas","SOx",0.00000150774,"ton/yr"
"956","np_oilgas","VOC",0.024069,"ton/yr"
"956","onroad","PM25",0.11422,"ton/yr"
"956","onroad","NOx",2.54628,"ton/yr"
"956","onroad","SOx",0.0133224,"ton/yr"
"956","onroad","VOC",0.849666,"ton/yr"
"956","onroad","NH3",0.0892206,"ton/yr"
"962","afdust","PM25",0.078019,"ton/yr"
