"tract_id","pop_h1","pop_h2","pop_h3","pop_qty"
"06013392000","HspLt","HspLt","P0020002",172.999999999999
"06013392000","White","White","P0020005",1758.99999999999
"06013392000","AABlk","AABlk","P0020006",32.9999999999999
"06013392000","Other","NatAm","P0020007",0
"06013392000","AsnPI","Asian","P0020008",381.999999999999
"06013392000","AsnPI","PcIsl","P0020009",0.999999999999997
"06013392000","Other","Other","P0020010",21.9999999999999
"06013392000","Other","Multi","P0020011",238.999999999999
"06013318000","HspLt","HspLt","P0020002",664.999999999997
"06013318000","White","White","P0020005",2190.99999999999
"06013318000","AABlk","AABlk","P0020006",120.999999999999
"06013318000","Other","NatAm","P0020007",11.9999999999999
"06013318000","AsnPI","Asian","P0020008",182.999999999999
"06013318000","AsnPI","PcIsl","P0020009",0
"06013318000","Other","Other","P0020010",9.99999999999995
"06013318000","Other","Multi","P0020011",259.999999999999
"06013314200","HspLt","HspLt","P0020002",5367.99999999996
"06013314200","White","White","P0020005",877.999999999993
"06013314200","AABlk","AABlk","P0020006",207.999999999998
"06013314200","Other","NatAm","P0020007",29.9999999999998
"06013314200","AsnPI","Asian","P0020008",442.999999999997
"06013314200","AsnPI","PcIsl","P0020009",30.9999999999998
"06013314200","Other","Other","P0020010",30.9999999999998
"06013314200","Other","Multi","P0020011",178.999999999999
"06013357000","HspLt","HspLt","P0020002",615.999999999998
"06013357000","White","White","P0020005",1947.99999999999
"06013357000","AABlk","AABlk","P0020006",183.999999999999
"06013357000","Other","NatAm","P0020007",15
"06013357000","AsnPI","Asian","P0020008",162.999999999999
"06013357000","AsnPI","PcIsl","P0020009",5.99999999999998
"06013357000","Other","Other","P0020010",25.9999999999999
"06013357000","Other","Multi","P0020011",243.999999999999
"06013320001","HspLt","HspLt","P0020002",1271.00000000002
"06013320001","White","White","P0020005",1721.00000000002
"06013320001","AABlk","AABlk","P0020006",81.000000000001
"06013320001","Other","NatAm","P0020007",16.0000000000002
"06013320001","AsnPI","Asian","P0020008",224.000000000003
"06013320001","AsnPI","PcIsl","P0020009",25.0000000000003
"06013320001","Other","Other","P0020010",37.0000000000004
"06013320001","Other","Multi","P0020011",251.000000000003
"06013365002","HspLt","HspLt","P0020002",4130.99999999999
"06013365002","White","White","P0020005",253.999999999999
"06013365002","AABlk","AABlk","P0020006",1016
"06013365002","Other","NatAm","P0020007",7.99999999999997
"06013365002","AsnPI","Asian","P0020008",437.999999999999
"06013365002","AsnPI","PcIsl","P0020009",52.9999999999998
"06013365002","Other","Other","P0020010",58.9999999999998
"06013365002","Other","Multi","P0020011",126
"06095250801","HspLt","HspLt","P0020002",976.000000000002
"06095250801","White","White","P0020005",1560
"06095250801","AABlk","AABlk","P0020006",1171
"06095250801","Other","NatAm","P0020007",17
"06095250801","AsnPI","Asian","P0020008",784.000000000002
"06095250801","AsnPI","PcIsl","P0020009",67.0000000000001
"06095250801","Other","Other","P0020010",30.0000000000001
"06095250801","Other","Multi","P0020011",311.000000000001
"06095252915","HspLt","HspLt","P0020002",349.221243390665
"06095252915","White","White","P0020005",781.933138540021
"06095252915","AABlk","AABlk","P0020006",149.131577968973
"06095252915","Other","NatAm","P0020007",2.01529159417531
"06095252915","AsnPI","Asian","P0020008",333.38680943643
"06095252915","AsnPI","PcIsl","P0020009",14.682838757563
"06095252915","Other","Other","P0020010",19.5771183434173
"06095252915","Other","Multi","P0020011",168.996595111558
"06001410000","HspLt","HspLt","P0020002",417.999999999999
"06001410000","White","White","P0020005",952.999999999998
"06001410000","AABlk","AABlk","P0020006",1167
"06001410000","Other","NatAm","P0020007",0.999999999999998
"06001410000","AsnPI","Asian","P0020008",266.999999999999
"06001410000","AsnPI","PcIsl","P0020009",0.999999999999998
"06001410000","Other","Other","P0020010",25.9999999999999
"06001410000","Other","Multi","P0020011",198
"06013343002","HspLt","HspLt","P0020002",387.999999999998
"06013343002","White","White","P0020005",3203.99999999999
"06013343002","AABlk","AABlk","P0020006",71.9999999999997
"06013343002","Other","NatAm","P0020007",7.99999999999997
"06013343002","AsnPI","Asian","P0020008",665.999999999997
"06013343002","AsnPI","PcIsl","P0020009",6.99999999999997
"06013343002","Other","Other","P0020010",42.9999999999998
"06013343002","Other","Multi","P0020011",251.999999999999
"06013352101","HspLt","HspLt","P0020002",453.999999999999
"06013352101","White","White","P0020005",1978
"06013352101","AABlk","AABlk","P0020006",61.9999999999999
"06013352101","Other","NatAm","P0020007",2
"06013352101","AsnPI","Asian","P0020008",549.999999999999
"06013352101","AsnPI","PcIsl","P0020009",19
"06013352101","Other","Other","P0020010",22
"06013352101","Other","Multi","P0020011",257
"06013305000","HspLt","HspLt","P0020002",3447.00000000001
"06013305000","White","White","P0020005",1587.00000000001
"06013305000","AABlk","AABlk","P0020006",1260
"06013305000","Other","NatAm","P0020007",35.0000000000001
"06013305000","AsnPI","Asian","P0020008",258.000000000001
"06013305000","AsnPI","PcIsl","P0020009",46.0000000000002
"06013305000","Other","Other","P0020010",69.0000000000003
"06013305000","Other","Multi","P0020011",362.000000000001
"06001451102","HspLt","HspLt","P0020002",452.000000000002
"06001451102","White","White","P0020005",2717.00000000001
"06001451102","AABlk","AABlk","P0020006",33.0000000000001
"06001451102","Other","NatAm","P0020007",2.00000000000001
"06001451102","AsnPI","Asian","P0020008",485.000000000002
"06001451102","AsnPI","PcIsl","P0020009",6.00000000000002
"06001451102","Other","Other","P0020010",24.0000000000001
"06001451102","Other","Multi","P0020011",236.000000000001
"06001441503","HspLt","HspLt","P0020002",249
"06001441503","White","White","P0020005",474.999999999999
"06001441503","AABlk","AABlk","P0020006",101
"06001441503","Other","NatAm","P0020007",9.99999999999998
"06001441503","AsnPI","Asian","P0020008",6707.99999999999
"06001441503","AsnPI","PcIsl","P0020009",7.99999999999999
"06001441503","Other","Other","P0020010",33.9999999999999
"06001441503","Other","Multi","P0020011",178
"06001451201","HspLt","HspLt","P0020002",1431
"06001451201","White","White","P0020005",3729
"06001451201","AABlk","AABlk","P0020006",139
"06001451201","Other","NatAm","P0020007",25
"06001451201","AsnPI","Asian","P0020008",1370
"06001451201","AsnPI","PcIsl","P0020009",20
"06001451201","Other","Other","P0020010",53.0000000000001
"06001451201","Other","Multi","P0020011",504.000000000001
"06001409000","HspLt","HspLt","P0020002",2555
"06001409000","White","White","P0020005",365
"06001409000","AABlk","AABlk","P0020006",1425
"06001409000","Other","NatAm","P0020007",27
"06001409000","AsnPI","Asian","P0020008",292
"06001409000","AsnPI","PcIsl","P0020009",73
"06001409000","Other","Other","P0020010",41
"06001409000","Other","Multi","P0020011",101
"06041106001","HspLt","HspLt","P0020002",1423.99999999999
"06041106001","White","White","P0020005",2558.99999999999
"06041106001","AABlk","AABlk","P0020006",165.999999999999
"06041106001","Other","NatAm","P0020007",11
"06041106001","AsnPI","Asian","P0020008",477.999999999998
"06041106001","AsnPI","PcIsl","P0020009",14.9999999999999
"06041106001","Other","Other","P0020010",42.9999999999998
"06041106001","Other","Multi","P0020011",307.999999999999
"06001404501","HspLt","HspLt","P0020002",122.999999999999
"06001404501","White","White","P0020005",1172.99999999999
"06001404501","AABlk","AABlk","P0020006",64.9999999999993
"06001404501","Other","NatAm","P0020007",0.999999999999989
"06001404501","AsnPI","Asian","P0020008",227.999999999997
"06001404501","AsnPI","PcIsl","P0020009",2.99999999999997
"06001404501","Other","Other","P0020010",22.9999999999997
"06001404501","Other","Multi","P0020011",154.999999999998
"06001450701","HspLt","HspLt","P0020002",573
"06001450701","White","White","P0020005",3912
"06001450701","AABlk","AABlk","P0020006",121
"06001450701","Other","NatAm","P0020007",8.00000000000001
"06001450701","AsnPI","Asian","P0020008",3141
"06001450701","AsnPI","PcIsl","P0020009",6
"06001450701","Other","Other","P0020010",32
"06001450701","Other","Multi","P0020011",478
"06001450742","HspLt","HspLt","P0020002",539.000000000001
"06001450742","White","White","P0020005",2802
"06001450742","AABlk","AABlk","P0020006",96.0000000000001
"06001450742","Other","NatAm","P0020007",6.00000000000001
"06001450742","AsnPI","Asian","P0020008",1627
"06001450742","AsnPI","PcIsl","P0020009",2
"06001450742","Other","Other","P0020010",47.0000000000001
"06001450742","Other","Multi","P0020011",320
"06001422000","HspLt","HspLt","P0020002",669.999999999997
"06001422000","White","White","P0020005",1730.99999999999
"06001422000","AABlk","AABlk","P0020006",778.999999999997
"06001422000","Other","NatAm","P0020007",35.9999999999998
"06001422000","AsnPI","Asian","P0020008",526.999999999998
"06001422000","AsnPI","PcIsl","P0020009",65.9999999999997
"06001422000","Other","Other","P0020010",57.9999999999997
"06001422000","Other","Multi","P0020011",292.999999999999
"06001421200","HspLt","HspLt","P0020002",235.000000000003
"06001421200","White","White","P0020005",2650.00000000004
"06001421200","AABlk","AABlk","P0020006",58.0000000000008
"06001421200","Other","NatAm","P0020007",5.00000000000007
"06001421200","AsnPI","Asian","P0020008",376.000000000005
"06001421200","AsnPI","PcIsl","P0020009",5.00000000000007
"06001421200","Other","Other","P0020010",25.0000000000003
"06001421200","Other","Multi","P0020011",303.000000000004
"06001435200","HspLt","HspLt","P0020002",1214.99999999999
"06001435200","White","White","P0020005",1026.99999999999
"06001435200","AABlk","AABlk","P0020006",844.999999999994
"06001435200","Other","NatAm","P0020007",5.99999999999995
"06001435200","AsnPI","Asian","P0020008",961.999999999993
"06001435200","AsnPI","PcIsl","P0020009",80.9999999999994
"06001435200","Other","Other","P0020010",27.9999999999998
"06001435200","Other","Multi","P0020011",339.999999999997
"06075980501","HspLt","HspLt","P0020002",4.99999999999997
"06075980501","White","White","P0020005",0
"06075980501","AABlk","AABlk","P0020006",0
"06075980501","Other","NatAm","P0020007",0
"06075980501","AsnPI","Asian","P0020008",115.999999999999
"06075980501","AsnPI","PcIsl","P0020009",0
"06075980501","Other","Other","P0020010",0
"06075980501","Other","Multi","P0020011",3.99999999999997
"06001451300","HspLt","HspLt","P0020002",1439.00000000001
"06001451300","White","White","P0020005",3790.00000000002
"06001451300","AABlk","AABlk","P0020006",80.0000000000004
"06001451300","Other","NatAm","P0020007",13.0000000000001
"06001451300","AsnPI","Asian","P0020008",633.000000000003
"06001451300","AsnPI","PcIsl","P0020009",15.0000000000001
"06001451300","Other","Other","P0020010",38.0000000000002
"06001451300","Other","Multi","P0020011",427.000000000002
"06085512024","HspLt","HspLt","P0020002",1218.00000000001
"06085512024","White","White","P0020005",1847.00000000002
"06085512024","AABlk","AABlk","P0020006",331.000000000003
"06085512024","Other","NatAm","P0020007",6.00000000000006
"06085512024","AsnPI","Asian","P0020008",981.00000000001
"06085512024","AsnPI","PcIsl","P0020009",12.0000000000001
"06085512024","Other","Other","P0020010",20.0000000000002
"06085512024","Other","Multi","P0020011",283.000000000003
"06001406000","HspLt","HspLt","P0020002",1215.99999999999
"06001406000","White","White","P0020005",1127.99999999999
"06001406000","AABlk","AABlk","P0020006",785.999999999995
"06001406000","Other","NatAm","P0020007",41.9999999999997
"06001406000","AsnPI","Asian","P0020008",1725.99999999999
"06001406000","AsnPI","PcIsl","P0020009",68.9999999999996
"06001406000","Other","Other","P0020010",33.9999999999998
"06001406000","Other","Multi","P0020011",221.999999999999
"06085512027","HspLt","HspLt","P0020002",1330.99999999997
"06085512027","White","White","P0020005",1503.99999999997
"06085512027","AABlk","AABlk","P0020006",135.999999999997
"06085512027","Other","NatAm","P0020007",12.9999999999997
"06085512027","AsnPI","Asian","P0020008",1127.99999999998
"06085512027","AsnPI","PcIsl","P0020009",10.9999999999998
"06085512027","Other","Other","P0020010",35.9999999999993
"06085512027","Other","Multi","P0020011",211.999999999996
"06041101200","HspLt","HspLt","P0020002",706.000000000001
"06041101200","White","White","P0020005",1815
"06041101200","AABlk","AABlk","P0020006",42
"06041101200","Other","NatAm","P0020007",4
"06041101200","AsnPI","Asian","P0020008",183
"06041101200","AsnPI","PcIsl","P0020009",9.00000000000001
"06041101200","Other","Other","P0020010",20
"06041101200","Other","Multi","P0020011",145
"06041110100","HspLt","HspLt","P0020002",1285.00000000001
"06041110100","White","White","P0020005",3909.00000000002
"06041110100","AABlk","AABlk","P0020006",113.000000000001
"06041110100","Other","NatAm","P0020007",7.00000000000004
"06041110100","AsnPI","Asian","P0020008",463.000000000003
"06041110100","AsnPI","PcIsl","P0020009",10.0000000000001
"06041110100","Other","Other","P0020010",80.0000000000005
"06041110100","Other","Multi","P0020011",309.000000000002
"06041133000","HspLt","HspLt","P0020002",657.385413036357
"06041133000","White","White","P0020005",2354.79850839923
"06041133000","AABlk","AABlk","P0020006",12.9878577043657
"06041133000","Other","NatAm","P0020007",13.9869236816246
"06041133000","AsnPI","Asian","P0020008",44.9579689766506
"06041133000","AsnPI","PcIsl","P0020009",3.99626390903561
"06041133000","Other","Other","P0020010",18.9822535679191
"06041133000","Other","Multi","P0020011",104.901927612185
"06041124200","HspLt","HspLt","P0020002",346.000000000001
"06041124200","White","White","P0020005",4636.00000000001
"06041124200","AABlk","AABlk","P0020006",70.0000000000001
"06041124200","Other","NatAm","P0020007",6.00000000000001
"06041124200","AsnPI","Asian","P0020008",431.000000000001
"06041124200","AsnPI","PcIsl","P0020009",11
"06041124200","Other","Other","P0020010",53.0000000000001
"06041124200","Other","Multi","P0020011",320.000000000001
"06041121200","HspLt","HspLt","P0020002",820.999999999999
"06041121200","White","White","P0020005",4338.99999999999
"06041121200","AABlk","AABlk","P0020006",268
"06041121200","Other","NatAm","P0020007",17
"06041121200","AsnPI","Asian","P0020008",577.999999999999
"06041121200","AsnPI","PcIsl","P0020009",11
"06041121200","Other","Other","P0020010",52.9999999999999
"06041121200","Other","Multi","P0020011",391
"06085513500","HspLt","HspLt","P0020002",329.945248332019
"06085513500","White","White","P0020005",503.390786730119
"06085513500","AABlk","AABlk","P0020006",10.964947829765
"06085513500","Other","NatAm","P0020007",1.99362687813909
"06085513500","AsnPI","Asian","P0020008",35.8852838065035
"06085513500","AsnPI","PcIsl","P0020009",5.98088063441726
"06085513500","Other","Other","P0020010",17.9426419032518
"06085513500","Other","Multi","P0020011",50.8374853925467
"06041126200","HspLt","HspLt","P0020002",362.999999999999
"06041126200","White","White","P0020005",3229.99999999999
"06041126200","AABlk","AABlk","P0020006",71.9999999999998
"06041126200","Other","NatAm","P0020007",7.99999999999998
"06041126200","AsnPI","Asian","P0020008",479.999999999999
"06041126200","AsnPI","PcIsl","P0020009",5.99999999999999
"06041126200","Other","Other","P0020010",55.9999999999999
"06041126200","Other","Multi","P0020011",279.999999999999
"06041110200","HspLt","HspLt","P0020002",311
"06041110200","White","White","P0020005",4465
"06041110200","AABlk","AABlk","P0020006",33
"06041110200","Other","NatAm","P0020007",3
"06041110200","AsnPI","Asian","P0020008",278
"06041110200","AsnPI","PcIsl","P0020009",9.99999999999999
"06041110200","Other","Other","P0020010",44
"06041110200","Other","Multi","P0020011",245
"06001431200","HspLt","HspLt","P0020002",1558
"06001431200","White","White","P0020005",2258.99999999999
"06001431200","AABlk","AABlk","P0020006",634.999999999998
"06001431200","Other","NatAm","P0020007",16
"06001431200","AsnPI","Asian","P0020008",1206
"06001431200","AsnPI","PcIsl","P0020009",46.9999999999999
"06001431200","Other","Other","P0020010",31.9999999999999
"06001431200","Other","Multi","P0020011",337.999999999999
"06041103100","HspLt","HspLt","P0020002",1035
"06041103100","White","White","P0020005",5504.00000000001
"06041103100","AABlk","AABlk","P0020006",74.0000000000001
"06041103100","Other","NatAm","P0020007",11
"06041103100","AsnPI","Asian","P0020008",354
"06041103100","AsnPI","PcIsl","P0020009",7.00000000000001
"06041103100","Other","Other","P0020010",48.0000000000001
"06041103100","Other","Multi","P0020011",343
"06041124100","HspLt","HspLt","P0020002",391
"06041124100","White","White","P0020005",4274
"06041124100","AABlk","AABlk","P0020006",44
"06041124100","Other","NatAm","P0020007",3
"06041124100","AsnPI","Asian","P0020008",434
"06041124100","AsnPI","PcIsl","P0020009",3
"06041124100","Other","Other","P0020010",41
"06041124100","Other","Multi","P0020011",400
"06041104300","HspLt","HspLt","P0020002",113
"06041104300","White","White","P0020005",1248
"06041104300","AABlk","AABlk","P0020006",2
"06041104300","Other","NatAm","P0020007",4
"06041104300","AsnPI","Asian","P0020008",97.0000000000001
"06041104300","AsnPI","PcIsl","P0020009",0
"06041104300","Other","Other","P0020010",10
"06041104300","Other","Multi","P0020011",90.0000000000001
"06041132200","HspLt","HspLt","P0020002",257.787331996079
"06041132200","White","White","P0020005",1405.3888524265
"06041132200","AABlk","AABlk","P0020006",4.97658942077372
"06041132200","Other","NatAm","P0020007",0
"06041132200","AsnPI","Asian","P0020008",28.8642186404876
"06041132200","AsnPI","PcIsl","P0020009",9.95317884154744
"06041132200","Other","Other","P0020010",17.9157219147854
"06041132200","Other","Multi","P0020011",90.5739274580817
"06041104102","HspLt","HspLt","P0020002",1990.99999999998
"06041104102","White","White","P0020005",2146.99999999998
"06041104102","AABlk","AABlk","P0020006",158.999999999999
"06041104102","Other","NatAm","P0020007",8.99999999999992
"06041104102","AsnPI","Asian","P0020008",617.999999999995
"06041104102","AsnPI","PcIsl","P0020009",21.9999999999998
"06041104102","Other","Other","P0020010",63.9999999999995
"06041104102","Other","Multi","P0020011",310.999999999997
"06041128200","HspLt","HspLt","P0020002",316
"06041128200","White","White","P0020005",3938
"06041128200","AABlk","AABlk","P0020006",26
"06041128200","Other","NatAm","P0020007",6
"06041128200","AsnPI","Asian","P0020008",220
"06041128200","AsnPI","PcIsl","P0020009",3
"06041128200","Other","Other","P0020010",17
"06041128200","Other","Multi","P0020011",350
"06041123000","HspLt","HspLt","P0020002",110
"06041123000","White","White","P0020005",1843
"06041123000","AABlk","AABlk","P0020006",17
"06041123000","Other","NatAm","P0020007",5.00000000000001
"06041123000","AsnPI","Asian","P0020008",71.0000000000002
"06041123000","AsnPI","PcIsl","P0020009",0
"06041123000","Other","Other","P0020010",10
"06041123000","Other","Multi","P0020011",75.0000000000002
"06041125000","HspLt","HspLt","P0020002",392.000000000003
"06041125000","White","White","P0020005",2842.00000000002
"06041125000","AABlk","AABlk","P0020006",48.0000000000003
"06041125000","Other","NatAm","P0020007",8.00000000000005
"06041125000","AsnPI","Asian","P0020008",661.000000000004
"06041125000","AsnPI","PcIsl","P0020009",9.00000000000006
"06041125000","Other","Other","P0020010",24.0000000000002
"06041125000","Other","Multi","P0020011",227.000000000002
"06041101100","HspLt","HspLt","P0020002",251.999999999999
"06041101100","White","White","P0020005",2057.99999999999
"06041101100","AABlk","AABlk","P0020006",33.9999999999999
"06041101100","Other","NatAm","P0020007",5.99999999999998
"06041101100","AsnPI","Asian","P0020008",167.999999999999
"06041101100","AsnPI","PcIsl","P0020009",3.99999999999999
"06041101100","Other","Other","P0020010",8.99999999999997
"06041101100","Other","Multi","P0020011",150.999999999999
"06041119100","HspLt","HspLt","P0020002",317
"06041119100","White","White","P0020005",3956
"06041119100","AABlk","AABlk","P0020006",25
"06041119100","Other","NatAm","P0020007",2
"06041119100","AsnPI","Asian","P0020008",189
"06041119100","AsnPI","PcIsl","P0020009",5
"06041119100","Other","Other","P0020010",27
"06041119100","Other","Multi","P0020011",275
"06041121100","HspLt","HspLt","P0020002",658.999999999996
"06041121100","White","White","P0020005",4251.99999999998
"06041121100","AABlk","AABlk","P0020006",36.9999999999998
