,isrm
0,842
1,843
2,909
3,910
4,911
5,947
6,948
7,953
8,954
9,955
10,956
11,957
12,958
13,959
14,960
15,961
16,962
17,963
18,964
19,965
20,966
21,967
22,968
23,969
24,970
25,971
26,972
27,973
28,974
29,975
30,976
31,977
32,978
33,979
34,980
35,981
36,982
37,983
38,984
39,985
40,986
41,987
42,988
43,989
44,990
45,991
46,992
47,993
48,994
49,995
50,996
51,997
52,998
53,999
54,1000
55,1001
56,1002
57,1003
58,1004
59,1005
60,1008
61,1009
62,1010
63,1011
64,1012
65,1013
66,1014
67,1015
68,1016
69,1017
70,1018
71,1019
72,1020
73,1021
74,1022
75,1023
76,1024
77,1025
78,1026
79,1027
80,1028
81,1029
82,1030
83,1031
84,1032
85,1033
86,1034
87,1035
88,1036
89,1037
90,1038
91,1039
92,1040
93,1041
94,1042
95,1043
96,1044
97,1045
98,1046
99,1047
100,1048
101,1049
102,1050
103,1051
104,1052
105,1053
106,1054
107,1055
108,1056
109,1057
110,1058
111,1059
112,1060
113,1061
114,1062
115,1063
116,1064
117,1065
118,1066
119,1067
120,1068
121,1069
122,1070
123,1071
124,1072
125,1073
126,1074
127,1075
128,1076
129,1077
130,1078
131,1079
132,1080
133,1081
134,1082
135,1083
136,1084
137,1085
138,1086
139,1087
140,1088
141,1089
142,1090
143,1091
144,1092
145,1093
146,1094
147,1095
148,1096
149,1097
150,1098
151,1099
152,1100
153,1101
154,1102
155,1103
156,1104
157,1105
158,1106
159,1107
160,1108
161,1109
162,1110
163,1111
164,1112
165,1113
166,1114
167,1115
168,1116
169,1117
170,1118
171,1119
172,1120
173,1121
174,1122
175,1123
176,1124
177,1125
178,1126
179,1127
180,1128
181,1129
182,1130
183,1131
184,1132
185,1133
186,1134
187,1135
188,1136
189,1137
190,1138
191,1139
192,1140
193,1141
194,1142
195,1143
196,1144
197,1145
198,1146
199,1147
200,1148
201,1149
202,1150
203,1151
204,1152
205,1153
206,1154
207,1155
208,1156
209,1157
210,1158
211,1159
212,1160
213,1161
214,1162
215,1163
216,1164
217,1165
218,1166
219,1167
220,1168
221,1169
222,1170
223,1171
224,1172
225,1173
226,1174
227,1175
228,1176
229,1177
230,1178
231,1179
232,1180
233,1181
234,1182
235,1183
236,1184
237,1185
238,1186
239,1187
240,1188
241,1189
242,1190
243,1191
244,1192
245,1193
246,1194
247,1195
248,1196
249,1197
250,1198
251,1199
252,1200
253,1201
254,1202
255,1203
256,1204
257,1205
258,1206
259,1207
260,1208
261,1209
262,1210
263,1211
264,1212
265,1213
266,1214
267,1215
268,1216
269,1217
270,1218
271,1219
272,1220
273,1221
274,1222
275,1223
276,1224
277,1225
278,1226
279,1227
280,1228
281,1229
282,1230
283,1231
284,1232
285,1233
286,1234
287,1235
288,1236
289,1239
290,1240
291,1243
292,1244
293,1245
294,1246
295,1247
296,1248
297,1249
298,1250
299,1251
300,1252
301,1253
302,1254
303,1255
304,1256
305,1257
306,1258
307,1259
308,1260
309,1261
310,1262
311,1263
312,1264
313,1265
314,1266
315,1267
316,1268
317,1269
318,1270
319,1271
320,1272
321,1273
322,1274
323,1275
324,1276
325,1277
326,1278
327,1279
328,1280
329,1281
330,1282
331,1283
332,1284
333,1285
334,1286
335,1287
336,1288
337,1289
338,1290
339,1291
340,1292
341,1293
342,1294
343,1295
344,1296
345,1297
346,1298
347,1299
348,1300
349,1301
350,1302
351,1303
352,1304
353,1305
354,1306
355,1307
356,1308
357,1309
358,1310
359,1311
360,1312
361,1316
362,1317
363,1318
364,1319
365,1320
366,1321
367,1322
368,1323
369,1324
370,1325
371,1326
372,1327
373,1328
374,1329
375,1330
376,1331
377,1332
378,1333
379,1334
380,1335
381,1336
382,1337
383,1338
384,1339
385,1340
386,1341
387,1342
388,1343
389,1344
390,1345
391,1346
392,1347
393,1348
394,1349
395,1350
396,1351
397,1352
398,1353
399,1354
400,1355
401,1356
402,1357
403,1358
404,1359
405,1360
406,1361
407,1362
408,1363
409,1364
410,1365
411,1366
412,1367
413,1368
414,1369
415,1370
416,1371
417,1372
418,1373
419,1374
420,1375
421,1376
422,1377
423,1378
424,1379
425,1380
426,1381
427,1382
428,1383
429,1384
430,1385
431,1386
432,1387
433,1388
434,1389
435,1390
436,1391
437,1392
438,1393
439,1394
440,1395
441,1396
442,1397
443,1398
444,1399
445,1400
446,1401
447,1402
448,1403
449,1404
450,1405
451,1406
452,1407
453,1408
454,1409
455,1410
456,1411
457,1412
458,1413
459,1414
460,1415
461,1416
462,1421
463,1422
464,1423
465,1424
466,1425
467,1426
468,1427
469,1428
470,1429
471,1430
472,1431
473,1432
474,1433
475,1434
476,1435
477,1436
478,1437
479,1438
480,1439
481,1440
482,1441
483,1442
484,1443
485,1444
486,1445
487,1446
488,1447
489,1448
490,1449
491,1450
492,1451
493,1452
494,1453
495,1454
496,1455
497,1456
498,1457
499,1458
500,1459
501,1460
502,1461
503,1462
504,1463
505,1464
506,1465
507,1466
508,1467
509,1470
510,1471
511,1472
512,1473
513,1474
514,1475
515,1477
516,1478
517,1479
518,1480
519,1481
520,1482
521,1483
522,1486
523,1487
524,1488
525,1489
526,1490
527,1491
528,1494
529,1495
530,1496
531,1497
532,1498
533,1499
