isrm,PrimaryPM25,NO3,NH4,SO4,SOA,TotalPM25,Total,White,Black,Native_American,Asian,Pacific_Islander,Other,Multiple,Hispanic,White non hispanic,geometry,Area,DeathsK,DeathsK_White,DeathsK_Asian,DeathsK_Black,DeathsK_Hispanic,Pop_density,DeathsK_per,DeathsK_area,TotalPM_area,Black_per,Asian_per,Hispanic_per
842,0.0589533,0.041963211,0.179055303,0.030312959,0.02571917,0.336003944,,,,,,,,,,,"POLYGON ((-123.0257801 38.17516305, -123.1039849 38.38330393, -123.3692562 38.32151878, -123.2903471 38.11356100999998, -123.0257801 38.17516305))",575.9999893,,,,,,,,,0.00058334,,,
843,0.061730131,0.042522057,0.194343047,0.031606601,0.02331745,0.353519286,2067,0.861151427,15,97,20,1,111,43,295,1485,"POLYGON ((-123.1039849 38.38330393, -123.1826479 38.59140096000001, -123.448627 38.52943248999998, -123.3692562 38.32151878, -123.1039849 38.38330393))",576.000026,0.039774214,0.034251621,0.00038485,0.000288637,0.005676533,3.588541505,1.92E-05,6.91E-05,0.000613749,0.007256894,0.009675859,0.142718916
909,0.13477955,0.068227972,0.128618394,0.059770205,0.034003161,0.425399283,,,,,,,,,,,"POLYGON ((-122.3051201 36.98548763, -122.4552455 37.40249789, -122.9792496 37.28135283000002, -122.8263712 36.86506671000001, -122.3051201 36.98548763))",2304.000205,,,,,,,,,0.000184635,,,
910,0.331879678,0.100451185,0.132423279,0.063951942,0.040643366,0.669349451,,,,,,,,,,,"POLYGON ((-122.4552455 37.40249789, -122.6071152 37.81939695, -123.1338982 37.69752600000001, -122.9792496 37.28135283000002, -122.4552455 37.40249789))",2304.000009,,,,,,,,,0.000290516,,,
911,0.105971154,0.050070564,0.260814912,0.034508349,0.043419052,0.49478403,,,,,,,,,,,"POLYGON ((-122.6071152 37.81939695, -122.7607588 38.2361596, -123.2903471 38.11356100999998, -123.1338982 37.69752600000001, -122.6071152 37.81939695))",2303.999758,,,,,,,,,0.00021475,,,
947,0.137181338,0.100329832,0.293686439,0.02741101,0.051367171,0.60997579,182,0.901098901,0,2,2,0,1,13,21,143,"POLYGON ((-122.7607588 38.2361596, -122.8382553 38.44448185000002, -123.1039849 38.38330393, -123.0257801 38.17516305, -122.7607588 38.2361596))",575.9999055,0.006047232,0.005449154,6.65E-05,0,0.000697758,0.315972274,3.32E-05,1.05E-05,0.001058986,0,0.010989011,0.115384615
948,0.136471581,0.066068387,0.502402525,0.029637712,0.044011055,0.778591259,372,0.830645161,4,5,13,0,23,18,42,267,"POLYGON ((-122.8382553 38.44448185000002, -122.9162067 38.65276046999999, -123.1826479 38.59140096000001, -123.1039849 38.38330393, -122.8382553 38.44448185000002))",575.9999016,0.015784783,0.013111554,0.000551619,0.000169729,0.001782153,0.645833444,4.24E-05,2.74E-05,0.001351721,0.010752688,0.034946237,0.112903226
953,0.347740377,0.057921872,0.318399836,0.082035557,0.065349637,0.87144728,12245,0.804899959,107,89,478,14,1194,507,2458,7398,"POLYGON ((-122.4492441 37.51673624, -122.46185 37.55148500999999, -122.5056735 37.54147784000001, -122.4930483 37.50673405999999, -122.4492441 37.51673624))",16.00001806,0.581706134,0.468215243,0.022707679,0.0050831,0.116768777,765.3116364,4.75E-05,0.036356592,0.054465394,0.008738261,0.039036341,0.200734994
954,0.380585209,0.06204304,0.18771491,0.079233145,0.075010633,0.784586938,5322,0.837655017,43,34,283,10,159,335,721,3737,"POLYGON ((-122.46185 37.55148500999999, -122.474468 37.58623294, -122.5183109 37.57622079000001, -122.5056735 37.54147784000001, -122.46185 37.55148500999999))",16.00000325,0.227567211,0.190622816,0.012101,0.001838668,0.030829756,332.6249325,4.28E-05,0.014222948,0.049036674,0.008079669,0.053175498,0.135475385
955,0.431040709,0.066763295,0.152995828,0.073449544,0.092431487,0.816680863,4812,0.797797174,55,31,348,31,166,342,716,3123,"POLYGON ((-122.474468 37.58623294, -122.4870982 37.62098002999999, -122.5309605 37.61096288999997, -122.5183109 37.57622079000001, -122.474468 37.58623294))",16.00000515,0.214196505,0.170885366,0.01549052,0.002448214,0.0318713,300.7499032,4.45E-05,0.013387277,0.051042537,0.011429759,0.072319202,0.14879468
